UBIGEO,PROVINCIA,IDH_2017,ING_2017,PEA_ASALARIADA
2005,Paita,0.490723894601465,680.297558898122,50.4742748253229
2006,Sullana,0.516984632487486,740.401646812715,50.9012067907548
2007,Talara,0.54439693249597,856.038927258843,54.6267872679219
2008,Sechura,0.419364285317978,589.199021358082,44.9220141015597
2101,Puno,0.491936640316058,714.945405866898,41.1436318685701
2102,Azángaro,0.305011921203303,286.690286712934,21.2705989894117
2103,Carabaya,0.340276288720328,428.930735964228,26.8992047585181
2104,Chucuito,0.334057910957443,281.739826383131,18.5334969598929
2105,El Collao,0.368311623892679,317.109076306678,18.1367088607595
2106,Huancané,0.316853537500038,290.981915437523,18.3102617501735
2107,Lampa,0.424232620132483,493.837604631647,28.6366866307989
2108,Melgar,0.420318182944911,518.502774116329,34.7141041931385
2109,Moho,0.271800138235944,196.87350569334,11.5957793973676
2110,San Antonio de Putina,0.422530356124898,789.059389926855,45.8259325044405
2111,San Román,0.506874007686336,709.358108100433,40.9384570355723
2112,Sandia,0.387580729066137,449.543361373645,24.5403774815539
2113,Yunguyo,0.360852010571512,376.31514481809,22.6916671806575
2201,Moyobamba,0.479055263332737,816.631542459573,44.2752596789424
2202,Bellavista,0.411804255085276,700.202636399292,39.5040946314832
2203,El Dorado,0.344978238963596,490.938153226053,28.1770226758923
2204,Huallaga,0.410900288801551,606.386721287075,36.2428842504744
2205,Lamas,0.350195564289269,484.450415686093,27.3290781882902
2206,Mariscal Cáceres,0.408737749995518,602.53314289017,34.0570984657215
2207,Picota,0.434467396619951,689.883144788614,41.1212516297262
2208,Rioja,0.464197562532084,820.213135130189,49.075557479974
2209,San Martín,0.567120728106144,983.214865605494,47.7095664919105
2210,Tocache,0.467272105975407,817.249749221529,42.6988550515395
2301,Tacna,0.611245356414445,1005.76159737815,46.1002750687672
2302,Candarave,0.399377220848459,496.845548049265,24.046483909416
2303,Jorge Basadre,0.660107855634315,1406.55770702134,66.0057082770016
2304,Tarata,0.506913802508766,684.579132080748,30.697961704756
2401,Tumbes,0.583096681169457,915.268826586875,50.9357612544259
2402,Contralmirante Villar,0.517221910973342,826.16845099004,46.9451580475818
2403,Zarumilla,0.500244443112056,788.934901110624,46.1847190565851
2501,Coronel Portillo,0.502881818786057,754.949200429895,44.2474359459562
2502,Atalaya,0.311407911116223,519.308654141175,35.8304771231163
2503,Padre Abad,0.425684463146204,589.186460188273,33.6365747909569
2504,Purús,0.335458695295488,517.759563444783,43.9263803680982
